time,open,high,low,close,tick_volume,spread,real_volume
2025-03-27 05:35:00,3033.55,3035.121,3032.379,3034.853,690,0,0
2025-03-27 05:40:00,3034.909,3035.571,3033.208,3033.258,725,0,0
2025-03-27 05:45:00,3033.233,3033.294,3031.619,3032.465,488,0,0
2025-03-27 05:50:00,3032.437,3032.786,3030.644,3030.999,620,0,0
2025-03-27 05:55:00,3031.032,3031.782,3029.431,3029.78,710,0,0
2025-03-27 06:00:00,3029.788,3032.084,3027.964,3032.075,796,0,0
2025-03-27 06:05:00,3032.079,3033.354,3029.131,3029.538,744,0,0
2025-03-27 06:10:00,3029.512,3030.675,3028.483,3030.268,755,0,0
2025-03-27 06:15:00,3030.28,3031.096,3029.297,3029.858,672,0,0
2025-03-27 06:20:00,3029.923,3030.281,3028.884,3029.042,760,0,0
2025-03-27 06:25:00,3028.929,3029.485,3027.546,3028.039,819,0,0
2025-03-27 06:30:00,3027.986,3028.794,3027.687,3028.282,897,0,0
2025-03-27 06:35:00,3028.316,3028.724,3027.435,3027.81,681,0,0
2025-03-27 06:40:00,3027.893,3028.402,3027.619,3027.892,672,0,0
2025-03-27 06:45:00,3027.889,3029.026,3026.755,3028.718,876,0,0
2025-03-27 06:50:00,3028.726,3030.172,3028.726,3030.083,721,0,0
2025-03-27 06:55:00,3030.047,3030.399,3028.331,3029.998,985,0,0
2025-03-27 07:00:00,3030.06,3031.672,3029.294,3031.152,796,0,0
2025-03-27 07:05:00,3031.187,3034.256,3031.187,3033.096,825,0,0
2025-03-27 07:10:00,3033.136,3033.649,3031.035,3031.753,698,0,0
2025-03-27 07:15:00,3031.734,3032.718,3031.032,3032.068,713,0,0
2025-03-27 07:20:00,3032.055,3032.534,3031.082,3031.558,676,0,0
2025-03-27 07:25:00,3031.59,3031.901,3030.924,3031.273,729,0,0
2025-03-27 07:30:00,3031.308,3031.458,3029.685,3030.338,695,0,0
2025-03-27 07:35:00,3030.386,3032.562,3030.361,3032.518,595,0,0
2025-03-27 07:40:00,3032.516,3033.779,3032.242,3033.553,638,0,0
2025-03-27 07:45:00,3033.558,3035.533,3032.557,3034.109,983,0,0
2025-03-27 07:50:00,3034.198,3036.753,3033.72,3036.026,1385,0,0
2025-03-27 07:55:00,3035.973,3036.823,3035.634,3035.93,1043,0,0
2025-03-27 08:00:00,3035.907,3036.645,3034.388,3036.598,1307,0,0
2025-03-27 08:05:00,3036.604,3037.748,3035.764,3037.479,973,0,0
2025-03-27 08:10:00,3037.505,3037.945,3036.299,3037.585,807,0,0
2025-03-27 08:15:00,3037.56,3037.64,3036.494,3037.127,598,0,0
2025-03-27 08:20:00,3037.132,3038.108,3035.523,3036.51,736,0,0
2025-03-27 08:25:00,3036.517,3037.068,3035.494,3036.225,687,0,0
2025-03-27 08:30:00,3036.201,3036.822,3034.663,3034.713,583,0,0
2025-03-27 08:35:00,3034.776,3035.314,3033.95,3034.532,685,0,0
2025-03-27 08:40:00,3034.492,3034.867,3033.854,3034.041,664,0,0
2025-03-27 08:45:00,3034.015,3036.027,3033.839,3035.955,594,0,0
2025-03-27 08:50:00,3035.996,3037.517,3035.996,3037.11,869,0,0
2025-03-27 08:55:00,3037.222,3037.434,3035.576,3036.235,659,0,0
2025-03-27 09:00:00,3036.225,3038.452,3035.535,3037.264,689,0,0
2025-03-27 09:05:00,3037.26,3037.26,3035.974,3036.958,486,0,0
2025-03-27 09:10:00,3037.006,3037.32,3036.514,3036.587,407,0,0
2025-03-27 09:15:00,3036.601,3036.866,3035.43,3036.769,558,0,0
2025-03-27 09:20:00,3036.713,3037.097,3035.352,3035.564,473,0,0
2025-03-27 09:25:00,3035.539,3035.989,3034.681,3035.842,575,0,0
2025-03-27 09:30:00,3035.91,3036.126,3035.138,3036.056,556,0,0
2025-03-27 09:35:00,3036.057,3036.824,3036.041,3036.14,327,0,0
2025-03-27 09:40:00,3036.151,3036.725,3034.704,3035.793,513,0,0
2025-03-27 09:45:00,3035.719,3037.409,3035.104,3037.409,493,0,0
2025-03-27 09:50:00,3037.406,3038.496,3037.171,3038.035,395,0,0
2025-03-27 09:55:00,3038.055,3041.121,3037.979,3040.005,726,0,0
2025-03-27 10:00:00,3040.109,3043.283,3039.877,3041.693,990,0,0
2025-03-27 10:05:00,3041.683,3046.283,3041.629,3045.046,1045,0,0
2025-03-27 10:10:00,3045.078,3046.778,3045.078,3046.079,1019,0,0
2025-03-27 10:15:00,3046.079,3050.85,3046.079,3049.861,1130,0,0
2025-03-27 10:20:00,3049.797,3051.026,3047.358,3050.957,1047,0,0
2025-03-27 10:25:00,3050.923,3053.509,3050.557,3052.158,1035,0,0
2025-03-27 10:30:00,3052.182,3054.703,3050.992,3053.028,1406,0,0
2025-03-27 10:35:00,3053.065,3055.978,3052.411,3052.411,1242,0,0
2025-03-27 10:40:00,3052.464,3054.503,3051.879,3052.489,1062,0,0
2025-03-27 10:45:00,3052.483,3054.457,3051.511,3054.295,988,0,0
2025-03-27 10:50:00,3054.325,3054.742,3052.73,3052.949,974,0,0
2025-03-27 10:55:00,3052.882,3052.938,3051.339,3051.467,784,0,0
2025-03-27 11:00:00,3051.504,3053.374,3050.558,3052.042,1010,0,0
2025-03-27 11:05:00,3052.033,3053.632,3051.644,3052.375,676,0,0
2025-03-27 11:10:00,3052.411,3054.245,3052.026,3053.308,973,0,0
2025-03-27 11:15:00,3053.275,3055.724,3052.049,3052.736,845,0,0
2025-03-27 11:20:00,3052.711,3052.711,3051.309,3051.457,644,0,0
2025-03-27 11:25:00,3051.477,3051.657,3048.877,3049.91,865,0,0
2025-03-27 11:30:00,3049.945,3052.858,3049.798,3052.461,790,0,0
2025-03-27 11:35:00,3052.465,3052.976,3051.068,3052.396,668,0,0
2025-03-27 11:40:00,3052.391,3053.429,3052.242,3052.612,481,0,0
2025-03-27 11:45:00,3052.644,3053.213,3051.957,3052.629,596,0,0
2025-03-27 11:50:00,3052.622,3054.789,3052.493,3054.03,902,0,0
2025-03-27 11:55:00,3054.055,3055.59,3053.214,3054.646,775,0,0
2025-03-27 12:00:00,3054.628,3056.056,3054.628,3054.812,779,0,0
2025-03-27 12:05:00,3054.816,3055.149,3053.765,3054.34,589,0,0
2025-03-27 12:10:00,3054.337,3054.665,3051.959,3053.5,960,0,0
2025-03-27 12:15:00,3053.499,3053.7,3051.538,3053.103,865,0,0
2025-03-27 12:20:00,3053.133,3054.385,3050.08,3050.163,1021,0,0
2025-03-27 12:25:00,3050.117,3051.356,3049.444,3051.212,910,0,0
2025-03-27 12:30:00,3051.471,3052.169,3048.456,3051.052,911,0,0
2025-03-27 12:35:00,3051.147,3051.649,3047.193,3049.091,1239,0,0
2025-03-27 12:40:00,3049.132,3049.884,3047.262,3049.884,952,0,0
2025-03-27 12:45:00,3049.861,3051.708,3049.259,3050.592,1023,0,0
2025-03-27 12:50:00,3050.607,3050.831,3049.215,3049.731,814,0,0
2025-03-27 12:55:00,3049.69,3050.71,3048.886,3050.074,914,0,0
2025-03-27 13:00:00,3050.116,3051.309,3047.234,3051.172,2033,0,0
2025-03-27 13:05:00,3051.136,3052.229,3047.569,3048.703,1446,0,0
2025-03-27 13:10:00,3048.677,3048.74,3044.967,3046.183,1586,0,0
2025-03-27 13:15:00,3046.158,3046.674,3041.434,3041.54,1467,0,0
2025-03-27 13:20:00,3041.568,3042.596,3038.364,3039.7,1938,0,0
2025-03-27 13:25:00,3039.655,3043.375,3039.401,3042.363,1646,0,0
2025-03-27 13:30:00,3042.401,3043.402,3038.104,3038.747,1786,0,0
2025-03-27 13:35:00,3038.72,3039.253,3035.021,3037.393,1981,0,0
2025-03-27 13:40:00,3037.429,3037.947,3033.486,3037.101,2436,0,0
2025-03-27 13:45:00,3037.13,3038.418,3034.425,3035.074,1622,0,0
2025-03-27 13:50:00,3035.042,3039.213,3034.169,3038.808,1672,0,0
2025-03-27 13:55:00,3038.885,3040.832,3037.913,3040.627,1194,0,0
2025-03-27 14:00:00,3040.693,3045.097,3040.693,3045.063,1181,0,0
2025-03-27 14:05:00,3045.087,3046.577,3042.412,3043.23,1638,0,0
2025-03-27 14:10:00,3043.242,3047.444,3042.545,3047.254,1854,0,0
2025-03-27 14:15:00,3047.281,3049.971,3046.231,3049.929,1579,0,0
2025-03-27 14:20:00,3049.963,3050.779,3047.671,3049.619,1170,0,0
2025-03-27 14:25:00,3049.659,3051.15,3048.808,3050.735,1519,0,0
2025-03-27 14:30:00,3050.774,3052.036,3049.89,3051.257,1143,0,0
2025-03-27 14:35:00,3051.245,3058.218,3050.329,3055.979,1633,0,0
2025-03-27 14:40:00,3056.006,3056.687,3053.619,3055.186,2849,0,0
2025-03-27 14:45:00,3055.18,3059.368,3054.235,3059.103,2790,0,0
2025-03-27 14:50:00,3058.992,3059.965,3055.476,3058.11,1900,0,0
2025-03-27 14:55:00,3058.152,3058.959,3056.238,3057.714,1672,0,0
2025-03-27 15:00:00,3057.748,3058.632,3053.146,3053.917,1935,0,0
2025-03-27 15:05:00,3053.952,3055.49,3053.442,3054.332,1030,0,0
2025-03-27 15:10:00,3054.364,3056.278,3053.264,3055.911,1381,0,0
2025-03-27 15:15:00,3056.011,3057.371,3055.364,3056.375,2635,0,0
2025-03-27 15:20:00,3056.384,3057.289,3053.83,3054.196,1411,0,0
2025-03-27 15:25:00,3054.221,3056.307,3053.374,3054.692,1254,0,0
2025-03-27 15:30:00,3054.736,3057.258,3053.734,3057.143,1612,0,0
2025-03-27 15:35:00,3057.198,3059.296,3056.57,3057.465,2045,0,0
2025-03-27 15:40:00,3057.506,3058.865,3057.236,3058.253,1757,0,0
2025-03-27 15:45:00,3058.21,3058.756,3057.745,3058.242,1623,0,0
2025-03-27 15:50:00,3058.201,3058.891,3053.589,3054.55,1477,0,0
2025-03-27 15:55:00,3054.495,3054.672,3051.466,3052.286,1201,0,0
2025-03-27 16:00:00,3052.203,3052.575,3050.442,3051.787,1435,0,0
2025-03-27 16:05:00,3051.816,3053.816,3051.429,3052.539,1542,0,0
2025-03-27 16:10:00,3052.509,3053.261,3051.148,3052.252,1127,0,0
2025-03-27 16:15:00,3052.121,3052.796,3050.941,3051.39,1026,0,0
2025-03-27 16:20:00,3051.386,3053.452,3050.765,3053.054,1231,0,0
2025-03-27 16:25:00,3053.03,3054.332,3052.609,3053.11,1282,0,0
2025-03-27 16:30:00,3053.122,3053.183,3050.781,3051.056,978,0,0
2025-03-27 16:35:00,3050.999,3052.591,3050.661,3051.533,832,0,0
2025-03-27 16:40:00,3051.497,3051.511,3049.733,3051.426,1011,0,0
2025-03-27 16:45:00,3051.378,3052.366,3049.725,3049.893,772,0,0
2025-03-27 16:50:00,3049.864,3050.573,3047.881,3049.779,873,0,0
2025-03-27 16:55:00,3049.81,3050.259,3048.273,3048.468,644,0,0
2025-03-27 17:00:00,3048.452,3051.244,3048.377,3050.848,747,0,0
2025-03-27 17:05:00,3050.835,3052.357,3050.011,3050.264,673,0,0
2025-03-27 17:10:00,3050.303,3052.071,3050.028,3051.035,682,0,0
2025-03-27 17:15:00,3051.106,3051.999,3050.705,3051.586,576,0,0
2025-03-27 17:20:00,3051.484,3051.617,3049.573,3050.565,602,0,0
2025-03-27 17:25:00,3050.549,3050.581,3048.387,3048.856,841,0,0
2025-03-27 17:30:00,3048.889,3050.581,3047.903,3049.793,1061,0,0
2025-03-27 17:35:00,3049.831,3051.082,3049.711,3050.515,1223,0,0
2025-03-27 17:40:00,3050.524,3050.693,3049.64,3049.829,662,0,0
2025-03-27 17:45:00,3049.869,3051.496,3049.493,3051.37,641,0,0
2025-03-27 17:50:00,3051.402,3053.157,3051.317,3052.553,776,0,0
2025-03-27 17:55:00,3052.548,3053.339,3052.341,3052.918,628,0,0
2025-03-27 18:00:00,3052.969,3053.573,3052.775,3053.129,439,0,0
2025-03-27 18:05:00,3053.116,3054.479,3053.01,3054.015,552,0,0
2025-03-27 18:10:00,3054.049,3055.07,3053.591,3054.594,566,0,0
2025-03-27 18:15:00,3054.667,3054.949,3053.874,3054.479,466,0,0
2025-03-27 18:20:00,3054.464,3054.556,3053.856,3054.542,400,0,0
2025-03-27 18:25:00,3054.517,3055.984,3054.186,3054.839,504,0,0
2025-03-27 18:30:00,3054.876,3056.182,3054.876,3056.136,550,0,0
2025-03-27 18:35:00,3056.029,3056.493,3055.572,3056.278,454,0,0
2025-03-27 18:40:00,3056.311,3057.426,3056.103,3057.367,464,0,0
2025-03-27 18:45:00,3057.395,3057.663,3056.052,3056.212,615,0,0
2025-03-27 18:50:00,3056.245,3057.144,3056.14,3056.915,444,0,0
2025-03-27 18:55:00,3056.923,3057.144,3055.864,3055.962,433,0,0
2025-03-27 19:00:00,3055.941,3055.987,3055.018,3055.724,447,0,0
2025-03-27 19:05:00,3055.718,3056.603,3055.604,3056.406,418,0,0
2025-03-27 19:10:00,3056.448,3057.378,3056.448,3057.159,409,0,0
2025-03-27 19:15:00,3057.133,3057.326,3056.554,3056.753,367,0,0
2025-03-27 19:20:00,3056.763,3057.423,3056.354,3057.204,453,0,0
2025-03-27 19:25:00,3057.167,3057.783,3057.009,3057.281,318,0,0
2025-03-27 19:30:00,3056.522,3057.241,3056.487,3057.128,265,0,0
2025-03-27 19:35:00,3057.087,3057.333,3056.475,3056.695,478,0,0
2025-03-27 19:40:00,3056.656,3057.569,3056.482,3057.169,598,0,0
2025-03-27 19:45:00,3057.204,3057.827,3056.976,3057.762,556,0,0
2025-03-27 19:50:00,3057.708,3057.871,3057.312,3057.449,537,0,0
2025-03-27 19:55:00,3057.414,3057.911,3057.255,3057.548,507,0,0
2025-03-27 20:00:00,3057.518,3057.683,3056.757,3057.214,284,0,0
2025-03-27 20:05:00,3057.245,3057.311,3056.087,3056.401,271,0,0
2025-03-27 20:10:00,3056.383,3056.742,3056.088,3056.554,247,0,0
2025-03-27 20:15:00,3056.538,3056.615,3055.214,3055.511,238,0,0
2025-03-27 20:20:00,3055.512,3056.481,3055.437,3056.388,206,0,0
2025-03-27 20:25:00,3056.39,3056.809,3056.18,3056.431,169,0,0
2025-03-27 20:30:00,3056.415,3056.651,3056.162,3056.247,167,0,0
2025-03-27 20:35:00,3056.317,3057.028,3056.277,3056.623,175,0,0
2025-03-27 20:40:00,3056.601,3056.695,3056.193,3056.389,196,0,0
2025-03-27 20:45:00,3056.389,3056.829,3056.083,3056.766,193,0,0
2025-03-27 20:50:00,3056.722,3057.193,3056.173,3056.962,216,0,0
2025-03-27 20:55:00,3056.943,3057.095,3056.557,3056.749,133,0,0
2025-03-27 22:00:00,3055.938,3056.575,3055.938,3056.116,221,0,0
2025-03-27 22:05:00,3056.107,3057.193,3055.928,3056.685,291,0,0
2025-03-27 22:10:00,3056.649,3056.649,3055.214,3055.396,222,0,0
2025-03-27 22:15:00,3055.322,3055.671,3054.879,3055.478,274,0,0
2025-03-27 22:20:00,3055.413,3055.946,3054.845,3055.737,213,0,0
2025-03-27 22:25:00,3055.738,3056.586,3055.568,3056.408,182,0,0
2025-03-27 22:30:00,3056.416,3056.818,3055.771,3056.537,317,0,0
2025-03-27 22:35:00,3056.562,3057.717,3056.489,3056.547,347,0,0
2025-03-27 22:40:00,3056.566,3057.175,3055.83,3055.83,339,0,0
2025-03-27 22:45:00,3055.828,3056.05,3055.48,3055.88,241,0,0
2025-03-27 22:50:00,3055.878,3056.436,3055.617,3055.723,225,0,0
2025-03-27 22:55:00,3055.739,3055.886,3054.567,3055.108,292,0,0
2025-03-27 23:00:00,3055.11,3055.301,3054.425,3054.468,258,0,0
2025-03-27 23:05:00,3054.47,3054.9,3054.243,3054.476,232,0,0
2025-03-27 23:10:00,3054.473,3054.781,3054.264,3054.584,167,0,0
